Id,Label,Faction,Gross Wealth,Middleman power,Lat,Long,lat10,long10
1,Guadagni,Oligarch,25179,0.0058,66,402,6.6,40.2
2,Bisheri,Oligarch,78729,0,108,539,10.8,53.9
3,Fioravanti,Medici,57674,0,128,265,12.8,26.5
4,Dall'Antella,Medici,37914,0,278,256,27.8,25.6
5,Dietisalvi,Medici,26274,0,447,221,44.7,22.1
6,Davanzati,Medici,19887,0,432,92,43.2,9.2
7,Orlandini,Medici,16315,0,233,180,23.3,18
8,Cocco-Donati,Medici,37260,0,717,252,71.7,25.2
9,Valori,Medici,37842,0,591,137,59.1,13.7
10,Ginori,Medici,42333,0.076,384,319,38.4,31.9
11,Guicciardini,Medici,203087,0,523,308,52.3,30.8
12,Tornabuoni,Medici,299878,0,233,371,23.3,37.1
13,Medici,Medici,248105,0.269,406,435,40.6,43.5
14,Da Uzzano,Oligarch,96131,0,622,371,62.2,37.1
15,Altoviti,Oligarch,77621,0,209,667,20.9,66.7
16,Solosmei,Oligarch,5757,0,268,871,26.8,87.1
17,Rondinelli,Oligarch,43588,0.076,789,687,78.9,68.7
18,Pazzi,Medici,341198,0.5029,541,514,54.1,51.4
19,Albizzi,Oligarch,249940,0.3567,361,596,36.1,59.6
20,Della Casa,Oligarch,140624,0,376,792,37.6,79.2
21,Pepi,Oligarch,43100,0,837,891,83.7,89.1
22,Scambrilla,Oligarch,148,0,688,935,68.8,93.5
23,Castellani,Oligarch,111355,0.1871,741,786,74.1,78.6
24,Peruzzi,Oligarch,150375,0.2865,578,905,57.8,90.5
25,Benizzi,Oligarch,26093,0,871,581,87.1,58.1
26,Strozzi,Oligarch,407296,0.152,771,475,77.1,47.5
27,Panciatichi,Oligarch,193878,0,489,670,48.9,67
28,Rucellai,Oligarch,93891,0,832,350,83.2,35
29,Aldobrandini,Oligarch,10805,0,270,749,27,74.9
30,Lamberteschi,Oligarch,64775,0,958,489,95.8,48.9
31,Baroncelli,Oligarch,92615,0,157,719,15.7,71.9
32,Velluti,Oligarch,28108,0,890,763,89,76.3
