Source,Target,Type,Id,Label,Weight
235,3,Uniredted,1,,1
236,3,Uniredted,2,,1
237,3,Uniredted,3,,1
238,3,Uniredted,4,,1
239,3,Uniredted,5,,1
240,3,Uniredted,6,,1
241,3,Uniredted,7,,1
242,3,Uniredted,8,,1
243,3,Uniredted,9,,1
244,3,Uniredted,10,,1
245,3,Uniredted,11,,1
246,3,Uniredted,12,,1
247,3,Uniredted,13,,1
248,3,Uniredted,14,,1
249,3,Uniredted,15,,1
250,4,Uniredted,16,,1
251,4,Uniredted,17,,1
252,4,Uniredted,18,,1
253,4,Uniredted,19,,1
254,4,Uniredted,20,,1
255,4,Uniredted,21,,1
256,4,Uniredted,22,,1
257,4,Uniredted,23,,1
258,4,Uniredted,24,,1
259,4,Uniredted,25,,1
260,4,Uniredted,26,,1
261,4,Uniredted,27,,1
262,4,Uniredted,28,,1
263,4,Uniredted,29,,1
264,4,Uniredted,30,,1
265,4,Uniredted,31,,1
266,4,Uniredted,32,,1
267,4,Uniredted,33,,1
274,7,Uniredted,34,,1
276,7,Uniredted,35,,1
279,7,Uniredted,36,,1
307,7,Uniredted,37,,1
308,7,Uniredted,38,,1
309,7,Uniredted,39,,1
310,7,Uniredted,40,,1
311,7,Uniredted,41,,1
312,7,Uniredted,42,,1
313,7,Uniredted,43,,1
314,7,Uniredted,44,,1
315,7,Uniredted,45,,1
316,7,Uniredted,46,,1
317,7,Uniredted,47,,1
318,7,Uniredted,48,,1
319,7,Uniredted,49,,1
320,7,Uniredted,50,,1
321,7,Uniredted,51,,1
322,7,Uniredted,52,,1
323,7,Uniredted,53,,1
324,7,Uniredted,54,,1
325,7,Uniredted,55,,1
326,7,Uniredted,56,,1
327,7,Uniredted,57,,1
328,7,Uniredted,58,,1
329,7,Uniredted,59,,1
330,7,Uniredted,60,,1
331,7,Uniredted,61,,1
332,7,Uniredted,62,,1
333,7,Uniredted,63,,1
334,7,Uniredted,64,,1
335,8,Uniredted,65,,1
336,8,Uniredted,66,,1
337,8,Uniredted,67,,1
338,8,Uniredted,68,,1
339,8,Uniredted,69,,1
340,8,Uniredted,70,,1
341,8,Uniredted,71,,1
342,8,Uniredted,72,,1
343,8,Uniredted,73,,1
344,8,Uniredted,74,,1
345,8,Uniredted,75,,1
346,8,Uniredted,76,,1
283,9,Uniredted,77,,1
347,9,Uniredted,78,,1
348,9,Uniredted,79,,1
349,9,Uniredted,80,,1
350,9,Uniredted,81,,1
351,9,Uniredted,82,,1
352,9,Uniredted,83,,1
353,9,Uniredted,84,,1
354,9,Uniredted,85,,1
355,9,Uniredted,86,,1
356,9,Uniredted,87,,1
357,9,Uniredted,88,,1
358,9,Uniredted,89,,1
359,9,Uniredted,90,,1
360,9,Uniredted,91,,1
361,9,Uniredted,92,,1
387,12,Uniredted,93,,1
388,12,Uniredted,94,,1
389,12,Uniredted,95,,1
390,12,Uniredted,96,,1
391,12,Uniredted,97,,1
392,13,Uniredted,98,,1
393,13,Uniredted,99,,1
394,13,Uniredted,100,,1
395,13,Uniredted,101,,1
396,13,Uniredted,102,,1
397,13,Uniredted,103,,1
398,13,Uniredted,104,,1
399,13,Uniredted,105,,1
400,13,Uniredted,106,,1
401,13,Uniredted,107,,1
402,13,Uniredted,108,,1
403,13,Uniredted,109,,1
295,14,Uniredted,110,,1
401,14,Uniredted,111,,1
404,14,Uniredted,112,,1
405,14,Uniredted,113,,1
406,14,Uniredted,114,,1
407,14,Uniredted,115,,1
408,14,Uniredted,116,,1
409,14,Uniredted,117,,1
410,14,Uniredted,118,,1
411,14,Uniredted,119,,1
412,14,Uniredted,120,,1
413,14,Uniredted,121,,1
414,14,Uniredted,122,,1
415,14,Uniredted,123,,1
330,15,Uniredted,124,,1
416,15,Uniredted,125,,1
417,15,Uniredted,126,,1
418,15,Uniredted,127,,1
419,15,Uniredted,128,,1
420,15,Uniredted,129,,1
421,15,Uniredted,130,,1
422,15,Uniredted,131,,1
423,15,Uniredted,132,,1
424,15,Uniredted,133,,1
425,15,Uniredted,134,,1
426,15,Uniredted,135,,1
427,15,Uniredted,136,,1
428,15,Uniredted,137,,1
429,15,Uniredted,138,,1
430,15,Uniredted,139,,1
431,15,Uniredted,140,,1
432,15,Uniredted,141,,1
433,15,Uniredted,142,,1
434,15,Uniredted,143,,1
435,15,Uniredted,144,,1
449,17,Uniredted,145,,1
450,17,Uniredted,146,,1
451,17,Uniredted,147,,1
452,17,Uniredted,148,,1
453,17,Uniredted,149,,1
454,17,Uniredted,150,,1
455,17,Uniredted,151,,1
456,17,Uniredted,152,,1
457,17,Uniredted,153,,1
268,18,Uniredted,154,,1
292,18,Uniredted,155,,1
396,18,Uniredted,156,,1
407,18,Uniredted,157,,1
458,18,Uniredted,158,,1
459,18,Uniredted,159,,1
460,18,Uniredted,160,,1
461,18,Uniredted,161,,1
462,18,Uniredted,162,,1
463,18,Uniredted,163,,1
464,18,Uniredted,164,,1
465,18,Uniredted,165,,1
466,18,Uniredted,166,,1
467,18,Uniredted,167,,1
468,18,Uniredted,168,,1
469,18,Uniredted,169,,1
470,18,Uniredted,170,,1
471,18,Uniredted,171,,1
472,18,Uniredted,172,,1
473,18,Uniredted,173,,1
474,18,Uniredted,174,,1
475,18,Uniredted,175,,1
476,18,Uniredted,176,,1
477,18,Uniredted,177,,1
478,18,Uniredted,178,,1
479,18,Uniredted,179,,1
480,18,Uniredted,180,,1
481,18,Uniredted,181,,1
482,18,Uniredted,182,,1
483,18,Uniredted,183,,1
484,18,Uniredted,184,,1
485,18,Uniredted,185,,1
486,18,Uniredted,186,,1
487,18,Uniredted,187,,1
488,18,Uniredted,188,,1
489,18,Uniredted,189,,1
490,18,Uniredted,190,,1
491,18,Uniredted,191,,1
492,18,Uniredted,192,,1
493,18,Uniredted,193,,1
494,18,Uniredted,194,,1
495,18,Uniredted,195,,1
496,18,Uniredted,196,,1
414,18,Uniredted,197,,1
2137,18,Uniredted,198,,1
497,19,Uniredted,199,,1
498,19,Uniredted,200,,1
499,19,Uniredted,201,,1
500,19,Uniredted,202,,1
501,19,Uniredted,203,,1
502,19,Uniredted,204,,1
503,19,Uniredted,205,,1
504,19,Uniredted,206,,1
505,19,Uniredted,207,,1
506,19,Uniredted,208,,1
507,19,Uniredted,209,,1
508,19,Uniredted,210,,1
509,19,Uniredted,211,,1
510,19,Uniredted,212,,1
511,19,Uniredted,213,,1
512,19,Uniredted,214,,1
513,19,Uniredted,215,,1
514,19,Uniredted,216,,1
515,19,Uniredted,217,,1
516,19,Uniredted,218,,1
551,22,Uniredted,219,,1
552,22,Uniredted,220,,1
553,22,Uniredted,221,,1
554,22,Uniredted,222,,1
555,22,Uniredted,223,,1
556,22,Uniredted,224,,1
557,22,Uniredted,225,,1
558,22,Uniredted,226,,1
559,22,Uniredted,227,,1
560,22,Uniredted,228,,1
561,22,Uniredted,229,,1
562,22,Uniredted,230,,1
563,22,Uniredted,231,,1
564,22,Uniredted,232,,1
565,22,Uniredted,233,,1
566,22,Uniredted,234,,1
567,22,Uniredted,235,,1
568,23,Uniredted,236,,1
569,23,Uniredted,237,,1
570,23,Uniredted,238,,1
571,23,Uniredted,239,,1
572,23,Uniredted,240,,1
573,23,Uniredted,241,,1
574,23,Uniredted,242,,1
575,23,Uniredted,243,,1
576,24,Uniredted,244,,1
577,24,Uniredted,245,,1
578,24,Uniredted,246,,1
579,24,Uniredted,247,,1
580,24,Uniredted,248,,1
581,24,Uniredted,249,,1
582,24,Uniredted,250,,1
583,24,Uniredted,251,,1
584,24,Uniredted,252,,1
585,24,Uniredted,253,,1
586,24,Uniredted,254,,1
587,24,Uniredted,255,,1
588,24,Uniredted,256,,1
589,24,Uniredted,257,,1
247,25,Uniredted,258,,1
291,25,Uniredted,259,,1
590,25,Uniredted,260,,1
591,25,Uniredted,261,,1
592,25,Uniredted,262,,1
593,25,Uniredted,263,,1
594,25,Uniredted,264,,1
595,25,Uniredted,265,,1
596,25,Uniredted,266,,1
597,25,Uniredted,267,,1
598,25,Uniredted,268,,1
599,25,Uniredted,269,,1
600,25,Uniredted,270,,1
601,25,Uniredted,271,,1
602,25,Uniredted,272,,1
603,25,Uniredted,273,,1
604,25,Uniredted,274,,1
605,25,Uniredted,275,,1
606,25,Uniredted,276,,1
607,25,Uniredted,277,,1
608,25,Uniredted,278,,1
609,25,Uniredted,279,,1
610,25,Uniredted,280,,1
611,25,Uniredted,281,,1
612,25,Uniredted,282,,1
613,25,Uniredted,283,,1
244,26,Uniredted,284,,1
247,26,Uniredted,285,,1
611,26,Uniredted,286,,1
614,26,Uniredted,287,,1
615,26,Uniredted,288,,1
616,26,Uniredted,289,,1
617,26,Uniredted,290,,1
618,26,Uniredted,291,,1
619,26,Uniredted,292,,1
620,26,Uniredted,293,,1
621,26,Uniredted,294,,1
622,26,Uniredted,295,,1
623,26,Uniredted,296,,1
624,26,Uniredted,297,,1
625,26,Uniredted,298,,1
626,26,Uniredted,299,,1
627,26,Uniredted,300,,1
628,26,Uniredted,301,,1
629,26,Uniredted,302,,1
630,26,Uniredted,303,,1
631,26,Uniredted,304,,1
632,27,Uniredted,305,,1
633,27,Uniredted,306,,1
634,27,Uniredted,307,,1
635,27,Uniredted,308,,1
636,27,Uniredted,309,,1
637,27,Uniredted,310,,1
638,27,Uniredted,311,,1
639,27,Uniredted,312,,1
2282,27,Uniredted,313,,1
2899,27,Uniredted,314,,1
2900,27,Uniredted,315,,1
2901,27,Uniredted,316,,1
2902,27,Uniredted,317,,1
2903,27,Uniredted,318,,1
2904,27,Uniredted,319,,1
2905,27,Uniredted,320,,1
2906,27,Uniredted,321,,1
1202,27,Uniredted,322,,1
1195,27,Uniredted,323,,1
549,27,Uniredted,324,,1
2882,27,Uniredted,325,,1
2466,27,Uniredted,326,,1
1203,27,Uniredted,327,,1
2382,27,Uniredted,328,,1
509,28,Uniredted,329,,1
640,28,Uniredted,330,,1
641,28,Uniredted,331,,1
642,28,Uniredted,332,,1
643,28,Uniredted,333,,1
644,28,Uniredted,334,,1
645,28,Uniredted,335,,1
646,28,Uniredted,336,,1
647,28,Uniredted,337,,1
648,28,Uniredted,338,,1
649,28,Uniredted,339,,1
650,28,Uniredted,340,,1
651,28,Uniredted,341,,1
336,29,Uniredted,342,,1
342,29,Uniredted,343,,1
343,29,Uniredted,344,,1
414,29,Uniredted,345,,1
485,29,Uniredted,346,,1
652,29,Uniredted,347,,1
653,29,Uniredted,348,,1
654,29,Uniredted,349,,1
655,29,Uniredted,350,,1
656,29,Uniredted,351,,1
657,29,Uniredted,352,,1
658,29,Uniredted,353,,1
659,29,Uniredted,354,,1
660,29,Uniredted,355,,1
661,29,Uniredted,356,,1
240,30,Uniredted,357,,1
274,30,Uniredted,358,,1
333,30,Uniredted,359,,1
336,30,Uniredted,360,,1
342,30,Uniredted,361,,1
343,30,Uniredted,362,,1
346,30,Uniredted,363,,1
384,30,Uniredted,364,,1
399,30,Uniredted,365,,1
662,30,Uniredted,366,,1
663,30,Uniredted,367,,1
664,30,Uniredted,368,,1
665,30,Uniredted,369,,1
666,30,Uniredted,370,,1
667,30,Uniredted,371,,1
668,30,Uniredted,372,,1
669,30,Uniredted,373,,1
670,30,Uniredted,374,,1
671,30,Uniredted,375,,1
672,30,Uniredted,376,,1
673,30,Uniredted,377,,1
674,30,Uniredted,378,,1
429,31,Uniredted,379,,1
659,31,Uniredted,380,,1
670,31,Uniredted,381,,1
675,31,Uniredted,382,,1
676,31,Uniredted,383,,1
677,31,Uniredted,384,,1
678,31,Uniredted,385,,1
679,31,Uniredted,386,,1
680,31,Uniredted,387,,1
681,31,Uniredted,388,,1
682,31,Uniredted,389,,1
683,31,Uniredted,390,,1
684,31,Uniredted,391,,1
685,31,Uniredted,392,,1
686,31,Uniredted,393,,1
687,31,Uniredted,394,,1
688,31,Uniredted,395,,1
268,32,Uniredted,396,,1
689,32,Uniredted,397,,1
690,32,Uniredted,398,,1
691,32,Uniredted,399,,1
692,32,Uniredted,400,,1
693,32,Uniredted,401,,1
694,32,Uniredted,402,,1
695,32,Uniredted,403,,1
696,32,Uniredted,404,,1
697,32,Uniredted,405,,1
698,32,Uniredted,406,,1
699,32,Uniredted,407,,1
700,33,Uniredted,408,,1
701,33,Uniredted,409,,1
702,33,Uniredted,410,,1
703,33,Uniredted,411,,1
704,33,Uniredted,412,,1
705,33,Uniredted,413,,1
706,33,Uniredted,414,,1
707,33,Uniredted,415,,1
708,33,Uniredted,416,,1
709,33,Uniredted,417,,1
710,33,Uniredted,418,,1
711,33,Uniredted,419,,1
278,34,Uniredted,420,,1
343,34,Uniredted,421,,1
712,34,Uniredted,422,,1
713,34,Uniredted,423,,1
714,34,Uniredted,424,,1
715,34,Uniredted,425,,1
716,34,Uniredted,426,,1
717,34,Uniredted,427,,1
718,34,Uniredted,428,,1
719,34,Uniredted,429,,1
720,35,Uniredted,430,,1
721,35,Uniredted,431,,1
722,35,Uniredted,432,,1
723,35,Uniredted,433,,1
724,35,Uniredted,434,,1
725,35,Uniredted,435,,1
726,35,Uniredted,436,,1
727,35,Uniredted,437,,1
728,35,Uniredted,438,,1
729,35,Uniredted,439,,1
730,35,Uniredted,440,,1
731,35,Uniredted,441,,1
732,35,Uniredted,442,,1
733,35,Uniredted,443,,1
734,35,Uniredted,444,,1
735,35,Uniredted,445,,1
736,35,Uniredted,446,,1
737,35,Uniredted,447,,1
738,35,Uniredted,448,,1
739,35,Uniredted,449,,1
740,35,Uniredted,450,,1
741,35,Uniredted,451,,1
2499,36,Uniredted,452,,1
742,36,Uniredted,453,,1
743,36,Uniredted,454,,1
744,36,Uniredted,455,,1
745,36,Uniredted,456,,1
746,36,Uniredted,457,,1
747,36,Uniredted,458,,1
748,36,Uniredted,459,,1
436,36,Uniredted,460,,1
750,36,Uniredted,461,,1
751,36,Uniredted,462,,1
440,36,Uniredted,463,,1
753,36,Uniredted,464,,1
754,36,Uniredted,465,,1
755,36,Uniredted,466,,1
756,36,Uniredted,467,,1
757,36,Uniredted,468,,1
758,36,Uniredted,469,,1
759,36,Uniredted,470,,1
760,36,Uniredted,471,,1
761,36,Uniredted,472,,1
762,36,Uniredted,473,,1
763,36,Uniredted,474,,1
764,36,Uniredted,475,,1
659,37,Uniredted,476,,1
660,37,Uniredted,477,,1
704,37,Uniredted,478,,1
765,37,Uniredted,479,,1
766,37,Uniredted,480,,1
767,37,Uniredted,481,,1
768,37,Uniredted,482,,1
769,37,Uniredted,483,,1
770,37,Uniredted,484,,1
771,37,Uniredted,485,,1
772,37,Uniredted,486,,1
773,37,Uniredted,487,,1
774,37,Uniredted,488,,1
775,37,Uniredted,489,,1
776,37,Uniredted,490,,1
777,37,Uniredted,491,,1
778,37,Uniredted,492,,1
779,37,Uniredted,493,,1
781,37,Uniredted,494,,1
782,37,Uniredted,495,,1
783,37,Uniredted,496,,1
784,37,Uniredted,497,,1
1277,37,Uniredted,498,,1
785,38,Uniredted,499,,1
786,38,Uniredted,500,,1
787,38,Uniredted,501,,1
788,38,Uniredted,502,,1
789,38,Uniredted,503,,1
790,38,Uniredted,504,,1
791,38,Uniredted,505,,1
792,38,Uniredted,506,,1
793,38,Uniredted,507,,1
794,38,Uniredted,508,,1
795,38,Uniredted,509,,1
796,38,Uniredted,510,,1
797,38,Uniredted,511,,1
798,38,Uniredted,512,,1
799,38,Uniredted,513,,1
355,40,Uniredted,514,,1
484,40,Uniredted,515,,1
660,40,Uniredted,516,,1
732,40,Uniredted,517,,1
812,40,Uniredted,518,,1
813,40,Uniredted,519,,1
814,40,Uniredted,520,,1
815,40,Uniredted,521,,1
816,40,Uniredted,522,,1
817,40,Uniredted,523,,1
818,40,Uniredted,524,,1
819,40,Uniredted,525,,1
820,40,Uniredted,526,,1
821,40,Uniredted,527,,1
822,40,Uniredted,528,,1
823,40,Uniredted,529,,1
824,40,Uniredted,530,,1
825,40,Uniredted,531,,1
826,40,Uniredted,532,,1
827,40,Uniredted,533,,1
828,40,Uniredted,534,,1
829,40,Uniredted,535,,1
830,40,Uniredted,536,,1
831,40,Uniredted,537,,1
275,42,Uniredted,538,,1
316,42,Uniredted,539,,1
361,42,Uniredted,540,,1
839,42,Uniredted,541,,1
840,42,Uniredted,542,,1
841,42,Uniredted,543,,1
842,42,Uniredted,544,,1
