Source,Target,Type,Id,Label,Weight
3,194,Undirected,1,,1
3,3173,Undirected,2,,1
3,30,Undirected,3,,1
3,66,Undirected,4,,1
3,91,Undirected,5,,1
3,138,Undirected,6,,1
3,194,Undirected,7,,1
3,2964,Undirected,8,,1
3,3139,Undirected,9,,1
3,3183,Undirected,10,,1
3,196,Undirected,11,,1
3,194,Undirected,12,,1
3,3163,Undirected,13,,1
3,3183,Undirected,14,,1
3,26,Undirected,15,,1
3,111,Undirected,16,,1
3,192,Undirected,17,,1
3,3062,Undirected,18,,1
3,3086,Undirected,19,,1
3,131,Undirected,20,,1
3,2980,Undirected,21,,1
3,3032,Undirected,22,,1
3,3035,Undirected,23,,1
3,3114,Undirected,24,,1
3,3115,Undirected,25,,1
3,25,Undirected,26,,1
3,26,Undirected,27,,1
3,124,Undirected,28,,1
3,124,Undirected,29,,1
3,180,Undirected,30,,1
4,87,Undirected,31,,1
4,109,Undirected,32,,1
4,172,Undirected,33,,1
4,2948,Undirected,34,,1
4,141,Undirected,35,,1
4,139,Undirected,36,,1
4,157,Undirected,37,,1
4,171,Undirected,38,,1
4,3120,Undirected,39,,1
4,3173,Undirected,40,,1
7,30,Undirected,41,,1
7,66,Undirected,42,,1
7,78,Undirected,43,,1
7,91,Undirected,44,,1
7,3183,Undirected,45,,1
7,78,Undirected,46,,1
7,168,Undirected,47,,1
7,3010,Undirected,48,,1
7,3078,Undirected,49,,1
7,66,Undirected,50,,1
7,78,Undirected,51,,1
7,130,Undirected,52,,1
7,162,Undirected,53,,1
7,3139,Undirected,54,,1
7,42,Undirected,55,,1
7,109,Undirected,56,,1
7,139,Undirected,57,,1
7,147,Undirected,58,,1
7,198,Undirected,59,,1
7,200,Undirected,60,,1
7,207,Undirected,61,,1
7,3240,Undirected,62,,1
7,91,Undirected,63,,1
7,150,Undirected,64,,1
7,2964,Undirected,65,,1
7,3183,Undirected,66,,1
7,168,Undirected,67,,1
7,183,Undirected,68,,1
7,196,Undirected,69,,1
7,119,Undirected,70,,1
7,97,Undirected,71,,1
7,109,Undirected,72,,1
7,126,Undirected,73,,1
7,3163,Undirected,74,,1
7,130,Undirected,75,,1
7,134,Undirected,76,,1
7,2967,Undirected,77,,1
7,15,Undirected,78,,1
7,75,Undirected,79,,1
7,130,Undirected,80,,1
7,130,Undirected,81,,1
7,166,Undirected,82,,1
7,3057,Undirected,83,,1
7,30,Undirected,84,,1
8,29,Undirected,85,,1
8,30,Undirected,86,,1
8,97,Undirected,87,,1
8,138,Undirected,88,,1
8,209,Undirected,89,,1
8,3139,Undirected,90,,1
8,173,Undirected,91,,1
8,66,Undirected,92,,1
8,90,Undirected,93,,1
8,91,Undirected,94,,1
8,131,Undirected,95,,1
8,134,Undirected,96,,1
8,138,Undirected,97,,1
8,3017,Undirected,98,,1
8,3183,Undirected,99,,1
8,29,Undirected,100,,1
8,30,Undirected,101,,1
8,91,Undirected,102,,1
8,131,Undirected,103,,1
8,138,Undirected,104,,1
8,3183,Undirected,105,,1
8,29,Undirected,106,,1
8,30,Undirected,107,,1
8,34,Undirected,108,,1
8,66,Undirected,109,,1
8,90,Undirected,110,,1
8,91,Undirected,111,,1
8,131,Undirected,112,,1
8,150,Undirected,113,,1
8,183,Undirected,114,,1
8,3183,Undirected,115,,1
8,83,Undirected,116,,1
8,138,Undirected,117,,1
8,89,Undirected,118,,1
8,90,Undirected,119,,1
8,196,Undirected,120,,1
8,30,Undirected,121,,1
8,150,Undirected,122,,1
9,104,Undirected,123,,1
9,109,Undirected,124,,1
9,198,Undirected,125,,1
9,200,Undirected,126,,1
9,104,Undirected,127,,1
9,40,Undirected,128,,1
9,94,Undirected,129,,1
9,108,Undirected,130,,1
9,3173,Undirected,131,,1
9,42,Undirected,132,,1
9,194,Undirected,133,,1
12,170,Undirected,134,,1
12,2980,Undirected,135,,1
12,170,Undirected,136,,1
13,131,Undirected,137,,1
13,148,Undirected,138,,1
13,18,Undirected,139,,1
13,62,Undirected,140,,1
13,154,Undirected,141,,1
13,109,Undirected,142,,1
13,30,Undirected,143,,1
13,97,Undirected,144,,1
13,138,Undirected,145,,1
13,183,Undirected,146,,1
13,196,Undirected,147,,1
13,2959,Undirected,148,,1
13,14,Undirected,149,,1
13,62,Undirected,150,,1
13,121,Undirected,151,,1
13,144,Undirected,152,,1
13,196,Undirected,153,,1
13,3062,Undirected,154,,1
13,3111,Undirected,155,,1
13,97,Undirected,156,,1
13,131,Undirected,157,,1
13,174,Undirected,158,,1
13,3120,Undirected,159,,1
13,3150,Undirected,160,,1
14,62,Undirected,161,,1
14,121,Undirected,162,,1
14,144,Undirected,163,,1
14,196,Undirected,164,,1
14,3062,Undirected,165,,1
14,3111,Undirected,166,,1
14,18,Undirected,167,,1
14,149,Undirected,168,,1
14,149,Undirected,169,,1
14,166,Undirected,170,,1
14,2967,Undirected,171,,1
14,18,Undirected,172,,1
14,29,Undirected,173,,1
14,62,Undirected,174,,1
14,63,Undirected,175,,1
14,94,Undirected,176,,1
14,112,Undirected,177,,1
14,141,Undirected,178,,1
14,142,Undirected,179,,1
14,144,Undirected,180,,1
14,154,Undirected,181,,1
14,174,Undirected,182,,1
14,196,Undirected,183,,1
14,2948,Undirected,184,,1
14,2959,Undirected,185,,1
14,3005,Undirected,186,,1
14,3010,Undirected,187,,1
14,3032,Undirected,188,,1
14,3062,Undirected,189,,1
14,3114,Undirected,190,,1
14,3120,Undirected,191,,1
14,3194,Undirected,192,,1
15,75,Undirected,193,,1
15,130,Undirected,194,,1
15,58,Undirected,195,,1
15,147,Undirected,196,,1
15,65,Undirected,197,,1
15,75,Undirected,198,,1
15,76,Undirected,199,,1
15,31,Undirected,200,,1
15,201,Undirected,201,,1
17,190,Undirected,202,,1
18,32,Undirected,203,,1
18,62,Undirected,204,,1
18,71,Undirected,205,,1
18,91,Undirected,206,,1
18,111,Undirected,207,,1
18,116,Undirected,208,,1
18,148,Undirected,209,,1
18,162,Undirected,210,,1
18,3062,Undirected,211,,1
18,3086,Undirected,212,,1
18,3114,Undirected,213,,1
18,3139,Undirected,214,,1
18,3183,Undirected,215,,1
18,63,Undirected,216,,1
18,91,Undirected,217,,1
18,183,Undirected,218,,1
18,194,Undirected,219,,1
18,3183,Undirected,220,,1
18,62,Undirected,221,,1
18,183,Undirected,222,,1
18,122,Undirected,223,,1
18,174,Undirected,224,,1
18,136,Undirected,225,,1
18,174,Undirected,226,,1
18,109,Undirected,227,,1
18,109,Undirected,228,,1
18,174,Undirected,229,,1
18,127,Undirected,230,,1
18,119,Undirected,231,,1
18,40,Undirected,232,,1
18,63,Undirected,233,,1
18,123,Undirected,234,,1
18,29,Undirected,235,,1
18,118,Undirected,236,,1
18,136,Undirected,237,,1
18,148,Undirected,238,,1
18,3120,Undirected,239,,1
18,134,Undirected,240,,1
18,109,Undirected,241,,1
18,29,Undirected,242,,1
18,62,Undirected,243,,1
18,63,Undirected,244,,1
18,94,Undirected,245,,1
18,112,Undirected,246,,1
18,141,Undirected,247,,1
18,142,Undirected,248,,1
18,144,Undirected,249,,1
18,154,Undirected,250,,1
18,174,Undirected,251,,1
18,196,Undirected,252,,1
18,2948,Undirected,253,,1
18,2959,Undirected,254,,1
18,3005,Undirected,255,,1
18,3010,Undirected,256,,1
18,3032,Undirected,257,,1
18,3062,Undirected,258,,1
18,3114,Undirected,259,,1
18,3120,Undirected,260,,1
18,3194,Undirected,261,,1
18,145,Undirected,262,,1
