ID,Label,Type
3,AMERICAN EXCHANGE NATIONAL BANK,1
4,AMERICAN SAVINGS BANK,1
7,BANK FOR SAVINGS IN THE CITY OF NEW YORK,1
8,BANK OF AMERICA,1
9,BANK OF JAMAICA,1
12,BANK OF STATEN ISLAND,1
13,BANK OF THE MANHATTAN COMPANY,1
14,BANK OF THE METROPOLIS,1
15,BANK OF WASHINGTON HEIGHTS,1
17,BOWERY BANK OF NEW YORK,1
18,BOWERY SAVINGS BANK,1
19,BOWLING GREEN TRUST CO.,1
22,BROADWAY SAVINGS INSTITUTION,1
23,BRONX BOROUGH BANK,1
24,BROOKLYN BANK,1
25,BROOKLYN SAVINGS BANK,1
26,BROOKLYN TRUST CO.,1
27,BUSHWICK SAVINGS BANK,1
28,CENTRAL NATIONAL BANK,1
29,CENTRAL REALTY BANK,1
30,CENTRAL TRUST CO.,1
31,CENTURY BANK,1
32,CHASE NATIONAL BANK,1
33,CHATHAM NATIONAL BANK,1
34,CHEMICAL NATIONAL BANK,1
35,CITIZENS' SAVING BANK,1
36,CITY SAVINGS BANK OF BROOKLYN,1
37,CITY TRUST CO.,1
38,COLLEGE POINT SAVINGS BANK,1
40,COLONIAL TRUST CO.,1
42,COMMERCIAL TRUST CO. OF NEW JERSEY,1
46,CORPORATION TRUST CO. OF DELAWARE,1
47,DIME SAVINGS BANK OF BROOKLYN,1
48,DIME SAVINGS BANK OF WILLIAMSBURGH,1
49,DOLLAR SAVINGS BANK,1
50,DRY LOCK SAVINGS INSTITUTION,1
51,EAST BROOKLYN SAVINGS BANK,1
52,EAST NEW YORK SAVINGS BANK,1
53,EAST RIVER NATIONAL BANK,1
54,EAST RIVER SAVINGS INSTITUTION,1
55,EASTERN DISTRICT SAVINGS BANK,1
58,EMIGRANT INDUSTRIAL SAVINGS BANK,1
59,EMPIRE CITY SAVINGS BANK,1
61,EXCELSIOR SAVINGS BANK,1
62,FARMERS' LOAN & TRUST CO.,1
63,FIDELITY BANK,1
64,FIFTH AVENUE BANK,1
65,FIFTH AVENUE BANK OF NEW YORK,1
66,FIFTH AVENUE TRUST CO.,1
67,FIFTH NATIONAL BANK,1
68,FIRST NATIONAL BANK OF BROOKLYN,1
69,FIRST NATIONAL BANK OF HEMPSTEAD,1
70,FIRST NATIONAL BANK OF STATEN ISLAND,1
71,FIRST NATIONAL BANK OF THE CITY OF NEW YORK,1
72,FLATBUSH TRUST CO.,1
73,FLUSHING BANK,1
74,FOURTEENTH STREET BANK,1
75,FOURTH NATIONAL BANK,1
76,FRANKLIN SAVINGS BANK,1
77,FRANKLIN TRUST CO.,1
78,GALLATIN NATIONAL BANK,1
79,GANSEVOORT BANK,1
80,GARFIELD NATIONAL BANK,1
81,GERMAN-AMERICAN BANK,1
