Id,Label
212,JAMES H. HYDE
219,LOUIS FITZGERALD
220,E.H. HARRIMAN
224,WILLIAM H. McINTYRE
240,SAMUEL D. BABCOCK
268,GEORGE F. BAKER
272,JOHN JACOB ASTOR
317,GEORGE S. BOWDOIN
341,GEORGE G. HAVEN
383,D.O. MILLS
414,JAMES STILLMAN
508,THOMAS T. ECKERT
673,JAMES SPEYER
697,JAMES J. HILL
843,AUGUST BELMONT
881,ROBERT OLYPHANT
1179,E.J. BERWIND
1180,CHAUNCEY M. DEPEW
1470,FREDERIC CROMWELL
1473,ALEXANDER E. ORR
1475,H. McK. TWOMBLY
1517,WILLIAM ROCKEFELLER
1581,JAMES W. ALEXANDER
1591,JOHN J. McCOOK
1785,A.J. CASSATT
1956,BRAYTON IVES
2131,STUYVESANT FISH
2907,JACOB H. SCHIFF
1886,GEORGE J. GOULD
