Id,Label
212,JAMES H. HYDE
219,LOUIS FITZGERALD
220,E.H. HARRIMAN
224,WILLIAM H. McINTYRE
240,SAMUEL D. BABCOCK
268,GEORGE F. BAKER
272,JOHN JACOB ASTOR
317,GEORGE S. BOWDOIN
341,GEORGE G. HAVEN
382,JOHN G. McCULLOUGH
383,D.O. MILLS
384,WILLIAM A. READ
414,JAMES STILLMAN
508,THOMAS T. ECKERT
673,JAMES SPEYER
697,JAMES J. HILL
782,GEORGE W. PERKINS
843,AUGUST BELMONT
881,ROBERT OLYPHANT
1140,DANIEL S. LAMONT
1150,THOMAS P. FOWLER
1179,E.J. BERWIND
1180,CHAUNCEY M. DEPEW
1470,FREDERIC CROMWELL
1473,ALEXANDER E. ORR
1475,H. McK. TWOMBLY
1517,WILLIAM ROCKEFELLER
1581,JAMES W. ALEXANDER
1591,JOHN J. McCOOK
1785,A.J. CASSATT
1886,GEORGE J. GOULD
1956,BRAYTON IVES
2131,STUYVESANT FISH
2679,N. PARKER SHORTRIDGE
2907,JACOB H. SCHIFF
