Id,Label,Director
1,AMERICAN DEPOSIT AND LOAN CO.,0
2,AMERICAN DOCK AND TRUST CO.,0
3,AMERICAN EXCHANGE NATIONAL BANK,0
4,AMERICAN SAVINGS BANK,0
5,ASTOR NATIONAL BANK,0
6,ATLANTIC TRUST CO.,0
7,BANK FOR SAVINGS IN THE CITY OF NEW YORK,0
8,BANK OF AMERICA,0
9,BANK OF JAMAICA,0
10,BANK OF MONTREAL,0
11,BANK OF NEW YORK,0
12,BANK OF STATEN ISLAND,0
13,BANK OF THE MANHATTAN COMPANY,0
14,BANK OF THE METROPOLIS,0
15,BANK OF WASHINGTON HEIGHTS,0
16,BEDFORD BANK,0
17,BOWERY BANK OF NEW YORK,0
18,BOWERY SAVINGS BANK,0
19,BOWLING GREEN TRUST CO.,0
20,BREVOORT SAVINGS BANK,0
21,BROADWAY BANK OF BROOKLYN,0
22,BROADWAY SAVINGS INSTITUTION,0
23,BRONX BOROUGH BANK,0
24,BROOKLYN BANK,0
25,BROOKLYN SAVINGS BANK,0
26,BROOKLYN TRUST CO.,0
27,BUSHWICK SAVINGS BANK,0
28,CENTRAL NATIONAL BANK,0
29,CENTRAL REALTY BANK,0
30,CENTRAL TRUST CO.,0
31,CENTURY BANK,0
32,CHASE NATIONAL BANK,0
33,CHATHAM NATIONAL BANK,0
34,CHEMICAL NATIONAL BANK,0
35,CITIZENS' SAVING BANK,0
36,CITY SAVINGS BANK OF BROOKLYN,0
37,CITY TRUST CO.,0
38,COLLEGE POINT SAVINGS BANK,0
39,COLONIAL BANK,0
40,COLONIAL TRUST CO.,0
41,COLUMBIA BANK,0
42,COMMERCIAL TRUST CO. OF NEW JERSEY,0
43,CONTINENTAL TRUST CO.,0
44,CO-OPERATIVE BUILDING BANK,0
45,CORN EXCHANGE BANK,0
46,CORPORATION TRUST CO. OF DELAWARE,0
47,DIME SAVINGS BANK OF BROOKLYN,0
48,DIME SAVINGS BANK OF WILLIAMSBURGH,0
49,DOLLAR SAVINGS BANK,0
50,DRY LOCK SAVINGS INSTITUTION,0
51,EAST BROOKLYN SAVINGS BANK,0
52,EAST NEW YORK SAVINGS BANK,0
53,EAST RIVER NATIONAL BANK,0
54,EAST RIVER SAVINGS INSTITUTION,0
55,EASTERN DISTRICT SAVINGS BANK,0
56,EIGHTH WARD BANK,0
57,ELEVENTH WARD BANK,0
58,EMIGRANT INDUSTRIAL SAVINGS BANK,0
59,EMPIRE CITY SAVINGS BANK,0
60,EMPIRE STATE BANK,0
61,EXCELSIOR SAVINGS BANK,0
62,FARMERS' LOAN & TRUST CO.,0
63,FIDELITY BANK,0
64,FIFTH AVENUE BANK,0
65,FIFTH AVENUE BANK OF NEW YORK,0
66,FIFTH AVENUE TRUST CO.,0
67,FIFTH NATIONAL BANK,0
68,FIRST NATIONAL BANK OF BROOKLYN,0
69,FIRST NATIONAL BANK OF HEMPSTEAD,0
70,FIRST NATIONAL BANK OF STATEN ISLAND,0
71,FIRST NATIONAL BANK OF THE CITY OF NEW YORK,0
72,FLATBUSH TRUST CO.,0
73,FLUSHING BANK,0
74,FOURTEENTH STREET BANK,0
75,FOURTH NATIONAL BANK,0
76,FRANKLIN SAVINGS BANK,0
77,FRANKLIN TRUST CO.,0
78,GALLATIN NATIONAL BANK,0
79,GANSEVOORT BANK,0
80,GARFIELD NATIONAL BANK,0
81,GERMAN-AMERICAN BANK,0
82,GERMAN EXCHANGE BANK,0
83,GERMAN SAVINGS BANK,0
84,"GERMAN SAVINGS BANK, BROOKLYN",0
85,GERMANIA BANK,0
86,GERMANIA SAVINGS BANK,0
87,GREATER NEW YORK SAVINGS BANK,0
88,GREENPOINT SAVINGS BANK,0
89,GREENWICH BANK,0
90,GREENWICH SAVINGS BANK,0
91,GUARANTY TRUST CO. OF NEW YORK,0
92,HAMILTON BANK OF NEW YORK CITY,0
93,HAMILTON TRUST CO.,0
94,HANOVER NATIONAL BANK,0
95,HARLEM SAVINGS BANK,0
96,HIDE AND LEATHER NATIONAL BANK,0
97,HUDSON TRUST CO.,0
98,IMPORTERS' AND TRADERS' NATIONAL BANK,0
99,INSTITUTION FOR THE SAVINGS OF MERCHANTS' CLERKS,0
100,INTERNATIONAL BANKING CORPORATION,0
101,IRVING NATIONAL BANK,0
102,IRVING SAVINGS INSTITUTION,0
103,ITALIAN SAVINGS BANK,0
104,JAMAICA SAVINGS BANK,0
105,JEFFERSON BANK,0
106,KINGS COUNTY BANK,0
107,KINGS COUNTY SAVINGS INSTITUTION,0
