Source,Target,Type,Id,Label,Weight
211,212,Undirected,1,,1
211,213,Undirected,2,,1
211,214,Undirected,3,,1
211,215,Undirected,4,,1
211,216,Undirected,5,,1
211,217,Undirected,6,,1
211,218,Undirected,7,,1
211,219,Undirected,8,,1
211,220,Undirected,9,,1
211,221,Undirected,10,,1
211,222,Undirected,11,,1
211,223,Undirected,12,,1
211,224,Undirected,13,,1
211,225,Undirected,14,,1
211,226,Undirected,15,,1
211,227,Undirected,16,,1
211,228,Undirected,17,,1
211,229,Undirected,18,,1
212,213,Undirected,19,,1
212,214,Undirected,20,,1
212,215,Undirected,21,,1
212,216,Undirected,22,,1
212,217,Undirected,23,,1
212,218,Undirected,24,,1
212,219,Undirected,25,,1
212,220,Undirected,26,,1
212,221,Undirected,27,,1
212,222,Undirected,28,,1
212,223,Undirected,29,,1
212,224,Undirected,30,,1
212,225,Undirected,31,,1
212,226,Undirected,32,,1
212,227,Undirected,33,,1
212,228,Undirected,34,,1
212,229,Undirected,35,,1
213,214,Undirected,36,,1
213,215,Undirected,37,,1
213,216,Undirected,38,,1
213,217,Undirected,39,,1
213,218,Undirected,40,,1
213,219,Undirected,41,,1
213,220,Undirected,42,,1
213,221,Undirected,43,,1
213,222,Undirected,44,,1
213,223,Undirected,45,,1
213,224,Undirected,46,,1
213,225,Undirected,47,,1
213,226,Undirected,48,,1
213,227,Undirected,49,,1
213,228,Undirected,50,,1
213,229,Undirected,51,,1
214,215,Undirected,52,,1
214,216,Undirected,53,,1
214,217,Undirected,54,,1
214,218,Undirected,55,,1
214,219,Undirected,56,,1
214,220,Undirected,57,,1
214,221,Undirected,58,,1
214,222,Undirected,59,,1
214,223,Undirected,60,,1
214,224,Undirected,61,,1
214,225,Undirected,62,,1
214,226,Undirected,63,,1
214,227,Undirected,64,,1
214,228,Undirected,65,,1
214,229,Undirected,66,,1
215,216,Undirected,67,,1
215,217,Undirected,68,,1
215,218,Undirected,69,,1
215,219,Undirected,70,,1
215,220,Undirected,71,,1
215,221,Undirected,72,,1
215,222,Undirected,73,,1
215,223,Undirected,74,,1
215,224,Undirected,75,,1
215,225,Undirected,76,,1
215,226,Undirected,77,,1
215,227,Undirected,78,,1
215,228,Undirected,79,,1
215,229,Undirected,80,,1
216,217,Undirected,81,,1
216,218,Undirected,82,,1
216,219,Undirected,83,,1
216,220,Undirected,84,,1
216,221,Undirected,85,,1
216,222,Undirected,86,,1
216,223,Undirected,87,,1
216,224,Undirected,88,,1
216,225,Undirected,89,,1
216,226,Undirected,90,,1
216,227,Undirected,91,,1
216,228,Undirected,92,,1
216,229,Undirected,93,,1
217,218,Undirected,94,,1
217,219,Undirected,95,,1
217,220,Undirected,96,,1
217,221,Undirected,97,,1
217,222,Undirected,98,,1
217,223,Undirected,99,,1
217,224,Undirected,100,,1
217,225,Undirected,101,,1
217,226,Undirected,102,,1
217,227,Undirected,103,,1
217,228,Undirected,104,,1
217,229,Undirected,105,,1
218,219,Undirected,106,,1
218,220,Undirected,107,,1
218,221,Undirected,108,,1
218,222,Undirected,109,,1
218,223,Undirected,110,,1
218,224,Undirected,111,,1
218,225,Undirected,112,,1
218,226,Undirected,113,,1
218,227,Undirected,114,,1
218,228,Undirected,115,,1
218,229,Undirected,116,,1
219,220,Undirected,117,,1
219,221,Undirected,118,,1
219,222,Undirected,119,,1
219,223,Undirected,120,,1
219,224,Undirected,121,,1
219,225,Undirected,122,,1
219,226,Undirected,123,,1
219,227,Undirected,124,,1
219,228,Undirected,125,,1
219,229,Undirected,126,,1
220,221,Undirected,127,,1
220,222,Undirected,128,,1
220,223,Undirected,129,,1
220,224,Undirected,130,,1
220,225,Undirected,131,,1
220,226,Undirected,132,,1
220,227,Undirected,133,,1
220,228,Undirected,134,,1
220,229,Undirected,135,,1
221,222,Undirected,136,,1
221,223,Undirected,137,,1
221,224,Undirected,138,,1
221,225,Undirected,139,,1
221,226,Undirected,140,,1
221,227,Undirected,141,,1
221,228,Undirected,142,,1
221,229,Undirected,143,,1
222,223,Undirected,144,,1
222,224,Undirected,145,,1
222,225,Undirected,146,,1
222,226,Undirected,147,,1
222,227,Undirected,148,,1
222,228,Undirected,149,,1
222,229,Undirected,150,,1
223,224,Undirected,151,,1
223,225,Undirected,152,,1
223,226,Undirected,153,,1
223,227,Undirected,154,,1
223,228,Undirected,155,,1
223,229,Undirected,156,,1
224,225,Undirected,157,,1
224,226,Undirected,158,,1
224,227,Undirected,159,,1
224,228,Undirected,160,,1
224,229,Undirected,161,,1
225,226,Undirected,162,,1
225,227,Undirected,163,,1
225,228,Undirected,164,,1
225,229,Undirected,165,,1
226,227,Undirected,166,,1
226,228,Undirected,167,,1
226,229,Undirected,168,,1
227,228,Undirected,169,,1
227,229,Undirected,170,,1
228,229,Undirected,171,,1
230,231,Undirected,172,,1
230,232,Undirected,173,,1
230,233,Undirected,174,,1
230,234,Undirected,175,,1
231,232,Undirected,176,,1
231,233,Undirected,177,,1
231,234,Undirected,178,,1
232,233,Undirected,179,,1
232,234,Undirected,180,,1
