Id,Label
211,GEORGE W. JENKINS
212,JAMES H. HYDE
213,CHARLES H. HAMILTON
214,F.W. FULLE
215,CHARLES B. ALEXANDER
216,HENRY M. ALEXANDER
217,WILLIAM ALEXANDER
218,MARCELLUS HARTLEY DODGE
219,LOUIS FITZGERALD
220,E.H. HARRIMAN
221,THOMAS H. HUBBARD
222,BRADISH JOHN JOHNSON
223,OTTO H. KAHN
224,WILLIAM H. McINTYRE
225,J. HENRY SMITH
226,V.P. SNYDER
227,GEORGE H. SQUIRE
228,G.E. TARBELL
229,HENRY ROGERS WINTHROP
230,FREDERICK H. POUCH
231,ALONZO B. POUCH
232,WILLIAM H. HASCY
233,EDGAR D. POUCH
234,WILLIAM H. POUCH
235,DUMONT CLARKE
236,E. BURNS
237,F.B. ANDERSON
238,J.S. CARR
239,L.L. CLARKE
240,SAMUEL D. BABCOCK
241,JOHN CLAFFIN
242,W. BAYARD CUTTING
243,WILLIAM P. DIXON
244,HENRY W. MAXWELL
245,J. ROGERS MAXWELL
246,SAMUEL REA
247,HENRY K. SHELDON
248,JOHN T. TERRY
249,L.C. WEIR
250,EDWARD V. LOEW
251,HENRY T. BRONSON
252,MYER HELLMAN
253,WILLIAM IRWIN
254,CLARENCE GOADBY
255,JAMES F. FARGO
256,SAMUEL HALL
257,CHARLES N. LEE
258,MOSES H. MOSES
259,VINCENT PISEK
260,RUSSELL RAYMOND
261,EDWARD ROWELL
262,DAVID H. ROWLAND
263,WILLIAM L. SKIDMORE
264,GRANVILLE B. SMITH
265,JOHN H. TIMMERMAN
266,WARNER VAN NORDEN
267,J.A. VAN WAGENEN
268,GEORGE F. BAKER
269,ALEXANDER H. STEVENS
270,GEORGE W. PANCOAST
271,BARKLEY WYCKOFF
272,JOHN JACOB ASTOR
273,HARRISON E. GAWTRY
274,"ADRIAN ISELIN, JR."
275,ROBERT H. McCURDY
276,CHARLES A. PEABODY
277,DOUGLAS ROBINSON
278,W. EMLEN ROOSEVELT
279,FREDERICK D. TAPPEN
280,L.V.F. RANDOLPH
281,JOHN L. RIKER
282,WILLIAM CARPENDER
283,JOHN ALVIN YOUNG
284,ALFRED H. SWAYNE
285,L.M. JONES
286,"BENJAMIN STRONG, JR."
287,FRANCIS M. BACON
288,D. CRAWFORD CLARK
289,GEORGE W. WLY
290,ANDREW H. GREEN
291,JOHN F. HALSTED
292,CHARLES R. HENDERSON
293,LOUIS J. HILL
294,WILLIAM H. HOLLISTER
295,WILLIAM B. ISHAM
296,W.R.T. JONES
297,MARTIN JOOST
298,LEWIS CASS LEDYARD
299,C.D. LEVERICH
300,GILBERT M. PLYMPTON
301,ANTON A. RAVEN
302,"WILLIAM SCHALL, JR."
303,JOHN W. SIMPSON
304,FRANCIS S. SMITHERS
305,FREDERICK STURGES
306,ALFRED WAGSTAFF
307,MERRITT TRIMBLE
308,JOHN J. TUCKER
309,ROBERT S. HOLT
310,WILLIAM W. SMITH
311,WILLIAM G. WHITE
312,JAMES KNOWLES
313,RICHARD L. PURDY
314,WILLIAM L. ANDREWS
315,WILLIAM W. APPLETON
316,CHARLES T. BARNEY
317,GEORGE S. BOWDOIN
318,CHARLES S. BROWN
319,JOHN CROSBY BROWN
