Id,Label,Type,Value,D,WD,Cluster,PageRank,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigen,,,,,,,,,,,
1,AMERICAN DEPOSIT AND LOAN CO.,1,19147153,25,58,0.626666667,0.00451942,5,0.435571688,0.000854158,0.39537936,,,,,,,,,,,
2,AMERICAN DOCK AND TRUST CO.,1,19147153,0,0,0,0.000618557,0,0,0,0,,,,,,,,,,,
3,AMERICAN EXCHANGE NATIONAL BANK,1,46995129,25,30,0.486666667,0.004644771,5,0.430879713,0.002366651,0.364389491,,,,,,,,,,,
4,AMERICAN SAVINGS BANK,1,1826451,12,12,0.363636364,0.003311409,6,0.402684564,0.004094694,0.098963477,,,,,,,,,,,
5,ASTOR NATIONAL BANK,1,5543057,39,53,0.475033738,0.006855827,4,0.458891013,0.005210844,0.561850979,,,,,,,,,,,
6,ATLANTIC TRUST CO.,1,11334546,27,32,0.37037037,0.005494715,5,0.436363636,0.007989001,0.339771507,,,,,,,,,,,
7,BANK FOR SAVINGS IN THE CITY OF NEW YORK,1,75879867,37,51,0.315315315,0.007234432,4,0.467836257,0.020763967,0.411486019,,,,,,,,,,,
8,BANK OF AMERICA,1,27911600,21,39,0.585714286,0.004143954,5,0.418848168,0.001682706,0.30951155,,,,,,,,,,,
9,BANK OF JAMAICA,1,19147153,11,12,0.290909091,0.003221341,6,0.406779661,0.008852434,0.082144738,,,,,,,,,,,
10,BANK OF MONTREAL,1,19147153,1,1,0,0.001843721,8,0.187793427,0,4.83089E-05,,,,,,,,,,,
11,BANK OF NEW YORK,1,48635590,26,35,0.406153846,0.004983351,5,0.44198895,0.00385856,0.357449397,,,,,,,,,,,
12,BANK OF STATEN ISLAND,1,19147153,2,3,0,0.001245541,6,0.289855072,6.81854E-05,0.005781962,,,,,,,,,,,
13,BANK OF THE MANHATTAN COMPANY,1,29814700,21,25,0.60952381,0.003962555,5,0.440366972,0.001814658,0.362284101,,,,,,,,,,,
14,BANK OF THE METROPOLIS,1,11677400,30,36,0.701149425,0.005350343,5,0.448598131,0.001529354,0.499594773,,,,,,,,,,,
15,BANK OF WASHINGTON HEIGHTS,1,614900,10,11,0.288888889,0.003197286,5,0.373250389,0.006774622,0.035488696,,,,,,,,,,,
16,BEDFORD BANK,1,19147153,8,15,0.357142857,0.002849268,6,0.349344978,0.002809625,0.010665204,,,,,,,,,,,
17,BOWERY BANK OF NEW YORK,1,3911200,1,1,0,0.000995154,7,0.274914089,0,0.001012431,,,,,,,,,,,
18,BOWERY SAVINGS BANK,1,92394521,50,70,0.425306122,0.008799525,4,0.491803279,0.014289409,0.723249937,,,,,,,,,,,
19,BOWLING GREEN TRUST CO.,1,16909332,16,24,0.266666667,0.004252242,5,0.421792619,0.012397024,0.147547812,,,,,,,,,,,
20,BREVOORT SAVINGS BANK,1,1200493,7,10,0.285714286,0.00231123,5,0.365853659,0.00169108,0.022521346,,,,,,,,,,,
21,BROADWAY BANK OF BROOKLYN,1,19147153,9,12,0.166666667,0.003092224,5,0.357142857,0.003619245,0.016285688,,,,,,,,,,,
22,BROADWAY SAVINGS INSTITUTION,1,8328523,8,8,0.178571429,0.002573453,5,0.385232745,0.003753809,0.054847779,,,,,,,,,,,
23,BRONX BOROUGH BANK,1,654200,1,1,0,0.000790081,6,0.331491713,0,0.015738312,,,,,,,,,,,
24,BROOKLYN BANK,1,19147153,2,3,0,0.00105008,6,0.331491713,0.000120366,0.011952663,,,,,,,,,,,
25,BROOKLYN SAVINGS BANK,1,42952883,17,26,0.25,0.004091017,5,0.437956204,0.005078224,0.12380092,,,,,,,,,,,
26,BROOKLYN TRUST CO.,1,16961007,15,19,0.219047619,0.003819755,5,0.399334443,0.006822756,0.095953165,,,,,,,,,,,
27,BUSHWICK SAVINGS BANK,1,2823813,8,16,0.178571429,0.002896741,6,0.355029586,0.003059553,0.01996654,,,,,,,,,,,
28,CENTRAL NATIONAL BANK,1,18895637,19,26,0.385964912,0.004058261,5,0.430107527,0.003669314,0.230535691,,,,,,,,,,,
29,CENTRAL REALTY BANK,1,19147153,47,64,0.463459759,0.008551295,5,0.489795918,0.015787116,0.700476699,,,,,,,,,,,
30,CENTRAL TRUST CO.,1,55425268,41,69,0.380487805,0.007618503,5,0.464216634,0.014113616,0.547562417,,,,,,,,,,,
31,CENTURY BANK,1,341200,12,12,0.333333333,0.00333837,5,0.41025641,0.016010592,0.111475571,,,,,,,,,,,
32,CHASE NATIONAL BANK,1,58505226,24,31,0.706521739,0.00435615,5,0.430879713,0.000990821,0.409839339,,,,,,,,,,,
33,CHATHAM NATIONAL BANK,1,8620721,4,4,0.5,0.001381755,6,0.38585209,7.23074E-05,0.045924812,,,,,,,,,,,
34,CHEMICAL NATIONAL BANK,1,35207931,18,28,0.614379085,0.003666648,5,0.410958904,0.003517917,0.24599159,,,,,,,,,,,
35,CITIZENS' SAVING BANK,1,16489929,9,9,0.194444444,0.002828532,5,0.379746835,0.00299336,0.050308969,,,,,,,,,,,
36,CITY SAVINGS BANK OF BROOKLYN,1,1346150,8,13,0.357142857,0.002689165,6,0.353460972,0.001626181,0.011963896,,,,,,,,,,,
37,CITY TRUST CO.,1,16490451,31,37,0.275268817,0.007133507,5,0.462427746,0.02466125,0.247647729,,,,,,,,,,,
38,COLLEGE POINT SAVINGS BANK,1,875903,0,0,0,0.000618557,0,0,0,0,,,,,,,,,,,
39,COLONIAL BANK,1,2903400,6,6,0.4,0.001925412,6,0.384615385,0.000992539,0.039261471,,,,,,,,,,,
40,COLONIAL TRUST CO.,1,21169102,29,35,0.184729064,0.006410904,5,0.46875,0.019187126,0.242682856,,,,,,,,,,,
41,COLUMBIA BANK,1,4048000,35,50,0.611764706,0.006379961,5,0.450281426,0.006516307,0.56412946,,,,,,,,,,,
42,COMMERCIAL TRUST CO. OF NEW JERSEY,1,19147153,31,39,0.376344086,0.005950524,5,0.449438202,0.005955208,0.339052975,,,,,,,,,,,
43,CONTINENTAL TRUST CO.,1,17353759,22,26,0.463203463,0.004289232,5,0.431654676,0.002640984,0.312276024,,,,,,,,,,,
44,CO-OPERATIVE BUILDING BANK,1,19147153,2,6,1,0.001947841,7,0.239520958,0,0.000235787,,,,,,,,,,,
45,CORN EXCHANGE BANK,1,36562700,17,21,0.352941176,0.004137064,5,0.431654676,0.009224323,0.194498978,,,,,,,,,,,
46,CORPORATION TRUST CO. OF DELAWARE,1,19147153,8,8,0.5,0.002270906,6,0.380952381,0.001345549,0.073436625,,,,,,,,,,,
47,DIME SAVINGS BANK OF BROOKLYN,1,29982817,9,12,0.055555556,0.003043266,5,0.37037037,0.006753542,0.023346135,,,,,,,,,,,
48,DIME SAVINGS BANK OF WILLIAMSBURGH,1,4948703,2,3,0,0.001226208,6,0.290556901,0.000172577,0.002286676,,,,,,,,,,,
49,DOLLAR SAVINGS BANK,1,2056064,1,6,0,0.001641069,8,0.216216216,0,6.52499E-05,,,,,,,,,,,
50,DRY LOCK SAVINGS INSTITUTION,1,30965394,4,4,0,0.001520769,6,0.379746835,0.000884904,0.039354766,,,,,,,,,,,
51,EAST BROOKLYN SAVINGS BANK,1,4409005,4,4,0,0.001746158,6,0.336134454,0.000995911,0.007856548,,,,,,,,,,,
52,EAST NEW YORK SAVINGS BANK,1,1573189,1,1,0,0.001020394,7,0.258342304,0,0.000707196,,,,,,,,,,,
53,EAST RIVER NATIONAL BANK,1,1829704,1,1,0,0.001131449,7,0.246406571,0,0.000427484,,,,,,,,,,,
54,EAST RIVER SAVINGS INSTITUTION,1,21686677,4,6,0.5,0.001628913,7,0.324763194,0.000162494,0.007550839,,,,,,,,,,,
55,EASTERN DISTRICT SAVINGS BANK,1,1067503,3,5,0.333333333,0.003227872,6,0.298879203,0.022843373,0.007449109,,,,,,,,,,,
56,EIGHTH WARD BANK,1,19147153,3,3,1,0.001392802,6,0.320427236,0,0.010251461,,,,,,,,,,,
