Source,Target,Type,Id,Label,Weight
1,66,Undirected,1,,1
1,100,Undirected,2,,1
1,124,Undirected,3,,1
1,198,Undirected,4,,1
1,200,Undirected,5,,1
1,207,Undirected,6,,1
1,3005,Undirected,7,,1
1,3010,Undirected,8,,1
1,3120,Undirected,9,,1
1,3139,Undirected,10,,1
1,3150,Undirected,11,,1
1,132,Undirected,12,,1
1,3150,Undirected,13,,1
1,200,Undirected,14,,1
1,207,Undirected,15,,1
1,3150,Undirected,16,,1
1,3150,Undirected,17,,1
1,3150,Undirected,18,,1
1,124,Undirected,19,,1
1,207,Undirected,20,,1
1,3010,Undirected,21,,1
1,3111,Undirected,22,,1
1,3150,Undirected,23,,1
1,91,Undirected,24,,1
1,100,Undirected,25,,1
1,124,Undirected,26,,1
1,144,Undirected,27,,1
1,2959,Undirected,28,,1
1,3005,Undirected,29,,1
1,3010,Undirected,30,,1
1,3012,Undirected,31,,1
1,3032,Undirected,32,,1
1,3065,Undirected,33,,1
1,3078,Undirected,34,,1
1,3114,Undirected,35,,1
1,3150,Undirected,36,,1
1,3278,Undirected,37,,1
1,100,Undirected,38,,1
1,207,Undirected,39,,1
1,90,Undirected,40,,1
1,207,Undirected,41,,1
1,3005,Undirected,42,,1
1,3010,Undirected,43,,1
1,66,Undirected,44,,1
1,100,Undirected,45,,1
1,2959,Undirected,46,,1
1,3150,Undirected,47,,1
1,192,Undirected,48,,1
1,3048,Undirected,49,,1
1,100,Undirected,50,,1
1,124,Undirected,51,,1
1,198,Undirected,52,,1
1,200,Undirected,53,,1
1,207,Undirected,54,,1
1,3120,Undirected,55,,1
1,3150,Undirected,56,,1
1,3150,Undirected,57,,1
1,3150,Undirected,58,,1
3,194,Undirected,59,,1
3,3173,Undirected,60,,1
3,30,Undirected,61,,1
3,66,Undirected,62,,1
3,91,Undirected,63,,1
3,138,Undirected,64,,1
3,194,Undirected,65,,1
3,2964,Undirected,66,,1
3,3139,Undirected,67,,1
3,3183,Undirected,68,,1
3,196,Undirected,69,,1
3,194,Undirected,70,,1
3,3163,Undirected,71,,1
3,3183,Undirected,72,,1
3,26,Undirected,73,,1
3,111,Undirected,74,,1
3,192,Undirected,75,,1
3,3062,Undirected,76,,1
3,3086,Undirected,77,,1
3,131,Undirected,78,,1
3,2980,Undirected,79,,1
3,3032,Undirected,80,,1
3,3035,Undirected,81,,1
3,3114,Undirected,82,,1
3,3115,Undirected,83,,1
3,25,Undirected,84,,1
3,26,Undirected,85,,1
3,124,Undirected,86,,1
3,124,Undirected,87,,1
3,180,Undirected,88,,1
4,57,Undirected,89,,1
4,87,Undirected,90,,1
4,109,Undirected,91,,1
4,172,Undirected,92,,1
4,2948,Undirected,93,,1
4,41,Undirected,94,,1
4,141,Undirected,95,,1
4,139,Undirected,96,,1
4,157,Undirected,97,,1
4,171,Undirected,98,,1
4,3120,Undirected,99,,1
4,3173,Undirected,100,,1
5,18,Undirected,101,,1
5,32,Undirected,102,,1
5,62,Undirected,103,,1
5,71,Undirected,104,,1
5,91,Undirected,105,,1
5,111,Undirected,106,,1
5,116,Undirected,107,,1
5,148,Undirected,108,,1
5,162,Undirected,109,,1
5,3062,Undirected,110,,1
5,3086,Undirected,111,,1
5,3114,Undirected,112,,1
5,3139,Undirected,113,,1
5,3183,Undirected,114,,1
5,3278,Undirected,115,,1
5,78,Undirected,116,,1
5,124,Undirected,117,,1
5,131,Undirected,118,,1
5,145,Undirected,119,,1
5,150,Undirected,120,,1
5,166,Undirected,121,,1
5,183,Undirected,122,,1
5,3057,Undirected,123,,1
5,3150,Undirected,124,,1
5,115,Undirected,125,,1
5,168,Undirected,126,,1
5,192,Undirected,127,,1
5,3078,Undirected,128,,1
5,7,Undirected,129,,1
5,30,Undirected,130,,1
5,66,Undirected,131,,1
5,78,Undirected,132,,1
5,91,Undirected,133,,1
5,3183,Undirected,134,,1
5,6,Undirected,135,,1
5,42,Undirected,136,,1
5,194,Undirected,137,,1
5,7,Undirected,138,,1
5,78,Undirected,139,,1
5,168,Undirected,140,,1
5,3010,Undirected,141,,1
5,3078,Undirected,142,,1
5,168,Undirected,143,,1
5,34,Undirected,144,,1
5,78,Undirected,145,,1
5,99,Undirected,146,,1
5,150,Undirected,147,,1
5,192,Undirected,148,,1
5,3163,Undirected,149,,1
5,7,Undirected,150,,1
5,66,Undirected,151,,1
5,78,Undirected,152,,1
5,130,Undirected,153,,1
6,42,Undirected,154,,1
6,194,Undirected,155,,1
6,11,Undirected,156,,1
6,62,Undirected,157,,1
6,90,Undirected,158,,1
6,166,Undirected,159,,1
6,174,Undirected,160,,1
6,3139,Undirected,161,,1
6,3163,Undirected,162,,1
6,149,Undirected,163,,1
6,9,Undirected,164,,1
6,25,Undirected,165,,1
6,114,Undirected,166,,1
6,18,Undirected,167,,1
6,63,Undirected,168,,1
6,91,Undirected,169,,1
6,183,Undirected,170,,1
6,194,Undirected,171,,1
6,3183,Undirected,172,,1
6,50,Undirected,173,,1
6,14,Undirected,174,,1
6,77,Undirected,175,,1
6,114,Undirected,176,,1
6,183,Undirected,177,,1
6,196,Undirected,178,,1
6,110,Undirected,179,,1
6,165,Undirected,180,,1
6,173,Undirected,181,,1
6,3163,Undirected,182,,1
6,138,Undirected,183,,1
6,173,Undirected,184,,1
7,30,Undirected,185,,1
7,66,Undirected,186,,1
7,78,Undirected,187,,1
7,91,Undirected,188,,1
7,3183,Undirected,189,,1
7,78,Undirected,190,,1
7,168,Undirected,191,,1
7,3010,Undirected,192,,1
7,3078,Undirected,193,,1
7,66,Undirected,194,,1
7,78,Undirected,195,,1
7,130,Undirected,196,,1
7,162,Undirected,197,,1
7,3139,Undirected,198,,1
7,42,Undirected,199,,1
7,109,Undirected,200,,1
7,139,Undirected,201,,1
7,147,Undirected,202,,1
7,198,Undirected,203,,1
7,200,Undirected,204,,1
7,207,Undirected,205,,1
7,3240,Undirected,206,,1
7,91,Undirected,207,,1
7,150,Undirected,208,,1
7,2964,Undirected,209,,1
7,3183,Undirected,210,,1
7,168,Undirected,211,,1
7,183,Undirected,212,,1
7,11,Undirected,213,,1
7,196,Undirected,214,,1
7,119,Undirected,215,,1
7,97,Undirected,216,,1
7,109,Undirected,217,,1
7,133,Undirected,218,,1
7,43,Undirected,219,,1
7,126,Undirected,220,,1
7,3163,Undirected,221,,1
7,130,Undirected,222,,1
7,134,Undirected,223,,1
7,2967,Undirected,224,,1
7,15,Undirected,225,,1
7,75,Undirected,226,,1
7,130,Undirected,227,,1
7,130,Undirected,228,,1
7,166,Undirected,229,,1
7,3057,Undirected,230,,1
7,11,Undirected,231,,1
7,30,Undirected,232,,1
8,29,Undirected,233,,1
8,30,Undirected,234,,1
8,97,Undirected,235,,1
8,138,Undirected,236,,1
8,209,Undirected,237,,1
8,3139,Undirected,238,,1
8,173,Undirected,239,,1
8,66,Undirected,240,,1
8,90,Undirected,241,,1
8,91,Undirected,242,,1
8,131,Undirected,243,,1
8,134,Undirected,244,,1
8,138,Undirected,245,,1
8,3017,Undirected,246,,1
8,3183,Undirected,247,,1
8,29,Undirected,248,,1
8,30,Undirected,249,,1
8,91,Undirected,250,,1
8,131,Undirected,251,,1
8,138,Undirected,252,,1
8,3183,Undirected,253,,1
8,29,Undirected,254,,1
8,30,Undirected,255,,1
8,34,Undirected,256,,1
8,66,Undirected,257,,1
8,90,Undirected,258,,1
8,91,Undirected,259,,1
8,131,Undirected,260,,1
8,150,Undirected,261,,1
8,183,Undirected,262,,1
8,3183,Undirected,263,,1
8,83,Undirected,264,,1
8,138,Undirected,265,,1
8,89,Undirected,266,,1
8,90,Undirected,267,,1
8,196,Undirected,268,,1
8,30,Undirected,269,,1
8,150,Undirected,270,,1
8,3278,Undirected,271,,1
9,104,Undirected,272,,1
9,109,Undirected,273,,1
9,198,Undirected,274,,1
9,200,Undirected,275,,1
9,104,Undirected,276,,1
9,40,Undirected,277,,1
9,94,Undirected,278,,1
9,108,Undirected,279,,1
9,3173,Undirected,280,,1
9,42,Undirected,281,,1
9,194,Undirected,282,,1
10,189,Undirected,283,,1
11,62,Undirected,284,,1
11,90,Undirected,285,,1
11,166,Undirected,286,,1
11,174,Undirected,287,,1
11,3139,Undirected,288,,1
11,3163,Undirected,289,,1
11,196,Undirected,290,,1
11,30,Undirected,291,,1
11,142,Undirected,292,,1
11,173,Undirected,293,,1
11,174,Undirected,294,,1
11,43,Undirected,295,,1
11,118,Undirected,296,,1
11,3163,Undirected,297,,1
11,46,Undirected,298,,1
11,154,Undirected,299,,1
11,2936,Undirected,300,,1
11,3017,Undirected,301,,1
11,3163,Undirected,302,,1
11,62,Undirected,303,,1
11,130,Undirected,304,,1
11,131,Undirected,305,,1
11,196,Undirected,306,,1
11,2936,Undirected,307,,1
11,2964,Undirected,308,,1
11,3005,Undirected,309,,1
11,3150,Undirected,310,,1
11,30,Undirected,311,,1
11,3039,Undirected,312,,1
11,3139,Undirected,313,,1
11,124,Undirected,314,,1
11,168,Undirected,315,,1
12,170,Undirected,316,,1
12,2980,Undirected,317,,1
12,170,Undirected,318,,1
13,131,Undirected,319,,1
13,148,Undirected,320,,1
13,18,Undirected,321,,1
13,62,Undirected,322,,1
13,154,Undirected,323,,1
13,109,Undirected,324,,1
13,30,Undirected,325,,1
13,97,Undirected,326,,1
13,138,Undirected,327,,1
13,183,Undirected,328,,1
13,196,Undirected,329,,1
13,2959,Undirected,330,,1
13,3278,Undirected,331,,1
13,14,Undirected,332,,1
13,62,Undirected,333,,1
13,121,Undirected,334,,1
13,144,Undirected,335,,1
13,196,Undirected,336,,1
13,3062,Undirected,337,,1
13,3111,Undirected,338,,1
13,97,Undirected,339,,1
13,131,Undirected,340,,1
13,174,Undirected,341,,1
13,3120,Undirected,342,,1
13,3150,Undirected,343,,1
14,62,Undirected,344,,1
14,121,Undirected,345,,1
14,144,Undirected,346,,1
14,196,Undirected,347,,1
14,3062,Undirected,348,,1
14,3111,Undirected,349,,1
14,18,Undirected,350,,1
14,149,Undirected,351,,1
14,149,Undirected,352,,1
14,166,Undirected,353,,1
14,2967,Undirected,354,,1
14,18,Undirected,355,,1
14,29,Undirected,356,,1
14,41,Undirected,357,,1
14,62,Undirected,358,,1
14,63,Undirected,359,,1
14,94,Undirected,360,,1
14,112,Undirected,361,,1
14,141,Undirected,362,,1
14,142,Undirected,363,,1
14,144,Undirected,364,,1
14,154,Undirected,365,,1
14,174,Undirected,366,,1
14,196,Undirected,367,,1
14,2948,Undirected,368,,1
14,2959,Undirected,369,,1
14,3005,Undirected,370,,1
14,3010,Undirected,371,,1
14,3032,Undirected,372,,1
14,3062,Undirected,373,,1
14,3114,Undirected,374,,1
14,3120,Undirected,375,,1
14,3194,Undirected,376,,1
14,3278,Undirected,377,,1
15,75,Undirected,378,,1
15,130,Undirected,379,,1
15,58,Undirected,380,,1
15,147,Undirected,381,,1
15,65,Undirected,382,,1
15,75,Undirected,383,,1
15,76,Undirected,384,,1
15,31,Undirected,385,,1
15,133,Undirected,386,,1
15,201,Undirected,387,,1
16,36,Undirected,388,,1
16,119,Undirected,389,,1
16,164,Undirected,390,,1
16,20,Undirected,391,,1
16,164,Undirected,392,,1
16,20,Undirected,393,,1
16,36,Undirected,394,,1
16,164,Undirected,395,,1
16,108,Undirected,396,,1
16,20,Undirected,397,,1
16,108,Undirected,398,,1
16,93,Undirected,399,,1
16,164,Undirected,400,,1
16,202,Undirected,401,,1
16,64,Undirected,402,,1
17,190,Undirected,403,,1
18,32,Undirected,404,,1
18,62,Undirected,405,,1
18,71,Undirected,406,,1
18,91,Undirected,407,,1
18,111,Undirected,408,,1
18,116,Undirected,409,,1
18,148,Undirected,410,,1
18,162,Undirected,411,,1
18,3062,Undirected,412,,1
18,3086,Undirected,413,,1
18,3114,Undirected,414,,1
18,3139,Undirected,415,,1
18,3183,Undirected,416,,1
18,3278,Undirected,417,,1
18,63,Undirected,418,,1
18,91,Undirected,419,,1
18,183,Undirected,420,,1
18,194,Undirected,421,,1
18,3183,Undirected,422,,1
18,62,Undirected,423,,1
18,183,Undirected,424,,1
18,122,Undirected,425,,1
18,174,Undirected,426,,1
18,136,Undirected,427,,1
18,174,Undirected,428,,1
18,109,Undirected,429,,1
18,109,Undirected,430,,1
18,174,Undirected,431,,1
18,127,Undirected,432,,1
18,119,Undirected,433,,1
18,40,Undirected,434,,1
18,63,Undirected,435,,1
18,123,Undirected,436,,1
18,29,Undirected,437,,1
18,45,Undirected,438,,1
18,118,Undirected,439,,1
18,136,Undirected,440,,1
18,148,Undirected,441,,1
18,3120,Undirected,442,,1
18,134,Undirected,443,,1
18,109,Undirected,444,,1
18,29,Undirected,445,,1
18,41,Undirected,446,,1
18,62,Undirected,447,,1
18,63,Undirected,448,,1
18,94,Undirected,449,,1
18,112,Undirected,450,,1
18,141,Undirected,451,,1
18,142,Undirected,452,,1
18,144,Undirected,453,,1
18,154,Undirected,454,,1
18,174,Undirected,455,,1
18,196,Undirected,456,,1
18,2948,Undirected,457,,1
18,2959,Undirected,458,,1
18,3005,Undirected,459,,1
18,3010,Undirected,460,,1
18,3032,Undirected,461,,1
18,3062,Undirected,462,,1
18,3114,Undirected,463,,1
18,3120,Undirected,464,,1
18,3194,Undirected,465,,1
18,3278,Undirected,466,,1
18,145,Undirected,467,,1
18,166,Undirected,468,,1
19,100,Undirected,469,,1
19,177,Undirected,470,,1
19,184,Undirected,471,,1
19,3111,Undirected,472,,1
19,130,Undirected,473,,1
19,177,Undirected,474,,1
19,177,Undirected,475,,1
19,111,Undirected,476,,1
19,202,Undirected,477,,1
19,96,Undirected,478,,1
19,177,Undirected,479,,1
19,3120,Undirected,480,,1
19,124,Undirected,481,,1
19,3010,Undirected,482,,1
19,3150,Undirected,483,,1
19,28,Undirected,484,,1
19,184,Undirected,485,,1
19,3111,Undirected,486,,1
19,184,Undirected,487,,1
19,3100,Undirected,488,,1
19,60,Undirected,489,,1
19,177,Undirected,490,,1
19,2993,Undirected,491,,1
19,111,Undirected,492,,1
20,164,Undirected,493,,1
20,108,Undirected,494,,1
20,164,Undirected,495,,1
20,93,Undirected,496,,1
20,148,Undirected,497,,1
20,114,Undirected,498,,1
20,121,Undirected,499,,1
21,84,Undirected,500,,1
21,118,Undirected,501,,1
21,108,Undirected,502,,1
21,210,Undirected,503,,1
21,84,Undirected,504,,1
21,84,Undirected,505,,1
21,137,Undirected,506,,1
21,208,Undirected,507,,1
21,84,Undirected,508,,1
21,27,Undirected,509,,1
21,209,Undirected,510,,1
21,93,Undirected,511,,1
22,71,Undirected,512,,1
22,143,Undirected,513,,1
22,94,Undirected,514,,1
22,151,Undirected,515,,1
22,154,Undirected,516,,1
22,67,Undirected,517,,1
