n = size(D,1);
for i = 1:n
    for j = i+1:n
        if D(i,1)~=D(j,1) && D(i,2)==D(j,2)
            fprintf('%0.0f,%0.0f\n',D(i,1),D(j,1))
        end
    end
end
1,66
1,100
1,124
1,198
1,200
1,207
1,3005
1,3010
1,3120
1,3139
1,3150
1,132
1,3150
1,200
1,207
1,3150
1,3150
1,3150
1,124
1,207
1,3010
1,3111
1,3150
1,91
1,100
1,124
1,144
1,2959
1,3005
1,3010
1,3012
1,3032
1,3065
1,3078
1,3114
1,3150
1,3278
1,100
1,207
1,90
1,207
1,3005
1,3010
1,66
1,100
1,2959
1,3150
1,192
1,3048
1,100
1,124
1,198
1,200
1,207
1,3120
1,3150
1,3150
1,3150
3,194
3,3173
3,30
3,66
3,91
3,138
3,194
3,2964
3,3139
3,3183
3,196
3,194
3,3163
3,3183
3,26
3,111
3,192
3,3062
3,3086
3,131
3,2980
3,3032
3,3035
3,3114
3,3115
3,25
3,26
3,124
3,124
3,180
4,57
4,87
4,109
4,172
4,2948
4,41
4,141
4,139
4,157
4,171
4,3120
4,3173
5,18
5,32
5,62
5,71
5,91
5,111
5,116
5,148
5,162
5,3062
5,3086
5,3114
5,3139
5,3183
5,3278
5,78
5,124
5,131
5,145
5,150
5,166
5,183
5,3057
5,3150
5,115
5,168
5,192
5,3078
5,7
5,30
5,66
5,78
5,91
5,3183
5,6
5,42
5,194
5,7
5,78
5,168
5,3010
5,3078
5,168
5,34
5,78
5,99
5,150
5,192
5,3163
5,7
5,66
5,78
5,130
6,42
6,194
6,11
6,62
6,90
6,166
6,174
6,3139
6,3163
6,149
6,9
6,25
6,114
6,18
6,63
6,91
6,183
6,194
6,3183
6,50
6,14
6,77
6,114
6,183
6,196
6,110
6,165
6,173
6,3163
6,138
6,173
7,30
7,66
7,78
7,91
7,3183
7,78
7,168
7,3010
7,3078
7,66
7,78
7,130
7,162
7,3139
7,42
7,109
7,139
7,147
7,198
7,200
7,207
7,3240
7,91
7,150
7,2964
7,3183
7,168
7,183
7,11
7,196
7,119
7,97
7,109
7,133
7,43
7,126
7,3163
7,130
7,134
7,2967
7,15
7,75
7,130
7,130
7,166
7,3057
7,11
7,30
8,29
8,30
8,97
8,138
8,209
8,3139
8,173
8,66
8,90
8,91
8,131
8,134
8,138
8,3017
8,3183
8,29
8,30
8,91
8,131
8,138
8,3183
8,29
8,30
8,34
8,66
8,90
8,91
8,131
8,150
8,183
8,3183
8,83
8,138
8,89
8,90
8,196
8,30
8,150
8,3278
9,104
9,109
9,198
9,200
9,104
9,40
9,94
9,108
9,3173
9,42
9,194
10,189
11,62
11,90
11,166
11,174
11,3139
11,3163
11,196
11,30
11,142
11,173
11,174
11,43
11,118
11,3163
11,46
11,154
11,2936
11,3017
11,3163
11,62
11,130
11,131
11,196
11,2936
11,2964
11,3005
11,3150
11,30
11,3039
11,3139
11,124
11,168
12,170
12,2980
12,170
13,131
13,148
13,18
13,62
13,154
13,109
13,30
13,97
13,138
13,183
13,196
13,2959
13,3278
13,14
13,62
13,121
13,144
13,196
13,3062
13,3111
13,97
13,131
13,174
13,3120
13,3150
14,62
14,121
14,144
14,196
14,3062
14,3111
14,18
14,149
14,149
14,166
14,2967
14,18
14,29
14,41
14,62
14,63
14,94
14,112
14,141
14,142
14,144
14,154
14,174
14,196
14,2948
14,2959
14,3005
14,3010
14,3032
14,3062
14,3114
14,3120
14,3194
14,3278
15,75
15,130
15,58
15,147
15,65
15,75
15,76
15,31
15,133
15,201
16,36
16,119
16,164
16,20
16,164
16,20
16,36
16,164
